SOL,MG,MH
0.021,0.03,0.007
0,0.03,0.019
-0.006,-0.005,0.023
-0.005,-0.014,0.016
0.056,-0.003,0.007
0.025,0.054,0
0.046,0.028,-0.011
-0.001,-0.041,-0.004
-0.051,0.05,-0.004
-0.036,-0.121,-0.005
-0.037,-0.045,0.005
0.108,0.018,0.002
0.111,0.007,0.026
0.025,-0.004,0.012
-0.02,0.034,0.003
0.064,0.012,0.003
0.034,0.014,0.001
0.009,-0.032,0.011
0.017,-0.013,-0.012
0.03,-0.061,-0.007
0.034,-0.033,-0.009
-0.032,0.037,0.022
0.034,0.026,0.012
-0.009,0.084,0.025
0.103,0.051,0.022
0.1,0.037,0.005
-0.045,-0.006,-0.025
-0.009,-0.096,-0.011
-0.027,-0.044,-0.002
-0.024,-0.009,-0.009
-0.093,0.03,0.013
-0.096,0.036,-0.002
0.12,-0.019,-0.005
0.131,-0.093,0.009
0.104,-0.051,-0.002
-0.024,0.003,-0.017
0.031,-0.069,-0.007
0.212,0.051,0.046
0.014,0.049,0.065
0,0.017,0.015
-0.011,0.025,0.012
-0.155,0.043,0.005
-0.069,0.011,0.01
-0.098,0.029,-0.004
0.069,-0.004,-0.012
0,-0.039,-0.013
0.063,0.033,0.003
0.018,-0.005,-0.009
0.045,0.003,-0.001
0.061,-0.002,-0.002
0.013,0.002,0.03
-0.003,0.003,0.007
0.007,-0.01,-0.012
0.036,0.006,0.023
0.008,0.021,-0.006
0.022,-0.031,-0.002
0.036,-0.016,-0.01
0.013,0,0.001
0.031,0.009,-0.009
0.025,0.02,-0.028
-0.001,0.011,-0.002
0.023,-0.002,0.01
-0.004,-0.012,0.009
0.01,-0.031,-0.001
0.03,-0.012,0.011
-0.016,-0.001,0.005
0.001,0.005,-0.004
0.039,-0.03,0.003
-0.01,0.018,0.02
0.017,0.027,-0.008
0,0.001,0.036
0.017,0.044,0.023
0.046,-0.072,-0.001
0.022,-0.005,0
0.012,-0.079,0.018
0.03,0.04,0.023
0.011,-0.012,0.022
0.033,-0.063,0.011
0.034,0.002,-0.014
-0.026,0.091,-0.01
-0.039,0.008,0.015
-0.016,0.011,0.009
-0.005,-0.01,0.004
0.019,-0.021,-0.002
0.021,-0.004,-0.02
0.029,-0.009,0.01
0.068,-0.005,0.006
0.082,0.011,0.004
0.044,-0.005,-0.012
0.031,-0.004,0
0.035,0.009,0.007
0.01,0.008,0.033
-0.006,0.005,0.023
0.029,-0.005,-0.003
0.038,0.022,-0.005
0.026,0.021,0.011
0.018,-0.005,0.006
0.017,0.046,0
0.036,0.019,0.018
0.04,-0.013,0.012
-0.011,-0.002,0.02
0.019,0.003,0.013
0.036,-0.051,0.008
0.034,-0.022,0.01
0.052,-0.011,0.014
0.016,0.005,0.007
0.021,0,-0.002
-0.015,0,0.011
-0.006,-0.001,-0.011
0.08,0.02,-0.001
0.038,0.052,0.001
0.013,-0.042,-0.003
0.022,-0.011,0
0.062,0.01,0.001
0.024,-0.016,0.001
-0.024,-0.005,-0.002
0.04,-0.025,-0.005
0.069,0,0.005
