DIA 0,DIA 5,DIA 15,DIA 20,DIA 30
-0.0036,0.012,-0.007,0.0182,0.048
-0.0033,0.002,0.022,-0.0042,0.048
-0.0006,0.03,0.037,0.0084,0.0525
-0.0063,0.009,-0.011,0.0714,-0.045
0.0012,0.002,-0.031,0.028,0.012
0.0021,0.019,-0.005,-0.056,-0.033
0.0045,0.014,0.008,-0.028,-0.051
0.0012,0.012,0.012,-0.0042,0.0735
-0.0009,0.005,-0.009,0.0462,-0.0195
-0.0003,0.007,0.036,0.0098,-0.0135
-0.0009,0.013,0.006,0.007,0.0675
-0.0042,0.017,0.007,0.0238,0.0855
0.0045,0.005,-0.026,0.0714,-0.033
0.0012,0.006,0.022,-0.007,-0.0915
-0.0012,0.007,0.006,0.084,-0.024
0.0006,-0.004,0.014,0.0532,0.063
-0.0018,0.018,0.014,0.0798,0.093
0.0021,-0.008,0.003,0.014,-0.003
-0.0054,0.004,-0.013,0.0182,-0.156
-0.0048,0.007,-0.037,-0.0182,-0.003
-0.0036,0.007,0.019,-0.035,0.066
-0.0084,0.01,0.027,0.0196,0.075
-0.0048,0.023,-0.005,-0.0098,-0.018
-0.0033,0.006,0.026,-0.0448,0.1035
-0.0003,0.016,0.004,0.0056,-0.06
0.006,0.016,-0.046,0.0252,-0.018
-0.0036,0.007,-0.018,-0.0168,-0.099
-0.0048,0.003,0.021,-0.0056,-0.111
-0.0087,0.005,-0.036,-0.0252,-0.336
-0.0114,0.009,-0.003,0.0322,-0.414
-0.0102,0.041,-0.023,-0.0084,0.2925
0.0015,0.019,0.048,0.0168,0.6765
-0.0009,0.001,0.016,0.0196,0.2865
-0.0012,0.027,-0.021,0.0798,0.066
-0.0045,0.02,0.014,0.0336,0.018
-0.0024,0.01,-0.054,-0.0042,0.009
-0.0018,0.018,0.029,-0.0602,0.084
